year,zip,price ($),cumulative increase,num_colleges
199604,02021,195300.0,1.0,0
199605,02021,196100.0,1.0040962621607783,0
199606,02021,196800.0,1.0076804915514592,0
199607,02021,197600.0,1.0117767537122375,0
199608,02021,198300.0,1.0153609831029187,0
199609,02021,199100.0,1.019457245263697,0
199610,02021,199900.0,1.0235535074244753,0
199611,02021,200700.0,1.0276497695852536,0
199612,02021,201800.0,1.0332821300563235,0
199701,02021,203100.0,1.0399385560675882,0
199702,02021,204400.0,1.0465949820788532,0
199703,02021,205400.0,1.051715309779826,0
199704,02021,206500.0,1.0573476702508962,0
199705,02021,207700.0,1.0634920634920635,0
199706,02021,208900.0,1.0696364567332308,0
199707,02021,210300.0,1.076804915514593,0
199708,02021,211600.0,1.0834613415258576,0
199709,02021,213100.0,1.091141833077317,0
199710,02021,214600.0,1.0988223246287763,0
199711,02021,216200.0,1.1070148489503329,0
199712,02021,218100.0,1.1167434715821813,0
199801,02021,220300.0,1.1280081925243215,0
199802,02021,222400.0,1.1387608806963645,0
199803,02021,224200.0,1.1479774705581156,0
199804,02021,226200.0,1.1582181259600615,0
199805,02021,228200.0,1.168458781362007,0
199806,02021,230300.0,1.17921146953405,0
199807,02021,232500.0,1.1904761904761905,0
199808,02021,234700.0,1.2017409114183308,0
199809,02021,236900.0,1.213005632360471,0
199810,02021,239100.0,1.2242703533026114,0
199811,02021,241500.0,1.2365591397849462,0
199812,02021,244100.0,1.2498719918074757,0
199901,02021,247000.0,1.264720942140297,0
199902,02021,249800.0,1.2790578597030209,0
199903,02021,252300.0,1.2918586789554531,0
199904,02021,254900.0,1.3051715309779826,0
199905,02021,257600.0,1.3189964157706093,0
199906,02021,260300.0,1.332821300563236,0
199907,02021,263000.0,1.3466461853558627,0
199908,02021,265600.0,1.3599590373783923,0
199909,02021,268300.0,1.3737839221710189,0
199910,02021,270900.0,1.3870967741935485,0
199911,02021,273700.0,1.4014336917562724,0
199912,02021,276700.0,1.416794674859191,0
200001,02021,279900.0,1.433179723502304,0
200002,02021,283000.0,1.44905273937532,0
200003,02021,285900.0,1.4639016897081414,0
200004,02021,288800.0,1.4787506400409627,0
200005,02021,291700.0,1.493599590373784,0
200006,02021,294600.0,1.5084485407066053,0
200007,02021,297600.0,1.5238095238095237,0
200008,02021,300500.0,1.538658474142345,0
200009,02021,303400.0,1.5535074244751663,0
200010,02021,306300.0,1.5683563748079876,0
200011,02021,309200.0,1.583205325140809,0
200012,02021,312300.0,1.599078341013825,0
200101,02021,315500.0,1.6154633896569381,0
200102,02021,318500.0,1.6308243727598566,0
200103,02021,321400.0,1.6456733230926779,0
200104,02021,324300.0,1.6605222734254992,0
200105,02021,327200.0,1.6753712237583205,0
200106,02021,330100.0,1.6902201740911418,0
200107,02021,333100.0,1.7055811571940604,0
200108,02021,336100.0,1.7209421402969791,0
200109,02021,339000.0,1.7357910906298004,0
200110,02021,342100.0,1.7516641065028162,0
200111,02021,345300.0,1.7680491551459294,0
200112,02021,348600.0,1.7849462365591398,0
200201,02021,352000.0,1.8023553507424475,0
200202,02021,355500.0,1.8202764976958525,0
200203,02021,359000.0,1.8381976446492576,0
200204,02021,362400.0,1.8556067588325653,0
200205,02021,365800.0,1.873015873015873,0
200206,02021,369200.0,1.8904249871991807,0
200207,02021,372800.0,1.908858166922683,0
200208,02021,376300.0,1.926779313876088,0
200209,02021,379800.0,1.944700460829493,0
200210,02021,383300.0,1.9626216077828982,0
200211,02021,387300.0,1.9831029185867897,0
