DATE,ATNHPIUS14454Q
1996-01-01,107.2250000000000000
1997-01-01,112.3650000000000000
1998-01-01,121.0825000000000000
1999-01-01,135.3900000000000000
2000-01-01,156.4525000000000000
2001-01-01,176.0550000000000000
2002-01-01,199.2625000000000000
2003-01-01,220.1725000000000000
2004-01-01,245.5825000000000000
2005-01-01,267.2825000000000000
2006-01-01,267.8625000000000000
2007-01-01,257.3300000000000000
2008-01-01,244.3800000000000000
2009-01-01,232.9525000000000000
2010-01-01,228.8500000000000000
2011-01-01,225.2025000000000000
2012-01-01,225.0525000000000000
2013-01-01,231.3925000000000000
2014-01-01,243.7000000000000000
2015-01-01,255.3825000000000000
2016-01-01,270.4125000000000000
