OBJECTID,FID_CollegePoints_Buffer,school,longitude,latitude,zipcode,admission_rate_1996,admission_rate_1997,admission_rate_1998,admission_rate_1999,admission_rate_2000,admission_rate_2001,admission_rate_2002,admission_rate_2003,admission_rate_2004,admission_rate_2005,admission_rate_2006,admission_rate_2007,admission_rate_2008,admission_rate_2009,admission_rate_2010,admission_rate_2011,admission_rate_2012,admission_rate_2013,admission_rate_2014,admission_rate_2015,admission_rate_2016,undergrad_population_1996,undergrad_population_1997,undergrad_population_1998,undergrad_population_1999,undergrad_population_2000,undergrad_population_2001,undergrad_population_2002,undergrad_population_2003,undergrad_population_2004,undergrad_population_2005,undergrad_population_2006,undergrad_population_2007,undergrad_population_2008,undergrad_population_2009,undergrad_population_2010,undergrad_population_2011,undergrad_population_2012,undergrad_population_2013,undergrad_population_2014,undergrad_population_2015,undergrad_population_2016,Acre_Estimate,Radius_ft_,BUFF_DIST,ORIG_FID,FID_ZIP_Codes,OBJECTID_1,ZIP5,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
86,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.012154539,8.22008E-06
87,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,28,29,02215,25198308,37861.73131,0.012154539,8.22008E-06
88,13,Suffolk University,-71.061788,42.358944,2108,,,,,,0.834,0.8448,0.8198,0.85,0.8239,0.8273,0.796,0.8192,0.8478,0.844,0.7899,0.7836,0.825,0.8391,0.8237,0.8442,2923,2909,3073,3160,,3293,3559,3893,4244,4595,4985,5290,5638,5532,5526,5640,5646,5535,5274,5352,5107,33.29434759,679.4452037,679.4452037,13,2,3,02110,6637283.754,18358.2135,0.008428958,2.41684E-06
89,15,Emerson College,-71.065384,42.352202,2116,,,,,,0.4702,0.5238,0.4837,0.4815,0.4549,0.4721,0.4496,0.3693,0.4214,0.4718,0.4843,0.4843,0.4798,0.4918,0.4903,0.4806,3039,2983,2650,3135,,2949,2995,3009,3076,3165,3216,3293,3418,3460,3450,3571,3660,3720,3757,3783,3783,24.66272115,584.7761867,584.7761867,15,2,3,02110,6637283.754,18358.2135,0.008428958,2.41684E-06
90,13,Suffolk University,-71.061788,42.358944,2108,,,,,,0.834,0.8448,0.8198,0.85,0.8239,0.8273,0.796,0.8192,0.8478,0.844,0.7899,0.7836,0.825,0.8391,0.8237,0.8442,2923,2909,3073,3160,,3293,3559,3893,4244,4595,4985,5290,5638,5532,5526,5640,5646,5535,5274,5352,5107,33.29434759,679.4452037,679.4452037,13,19,20,02108,6162153.076,18485.04013,0.022148092,2.02951E-05
91,15,Emerson College,-71.065384,42.352202,2116,,,,,,0.4702,0.5238,0.4837,0.4815,0.4549,0.4721,0.4496,0.3693,0.4214,0.4718,0.4843,0.4843,0.4798,0.4918,0.4903,0.4806,3039,2983,2650,3135,,2949,2995,3009,3076,3165,3216,3293,3418,3460,3450,3571,3660,3720,3757,3783,3783,24.66272115,584.7761867,584.7761867,15,19,20,02108,6162153.076,18485.04013,0.022148092,2.02951E-05
92,13,Suffolk University,-71.061788,42.358944,2108,,,,,,0.834,0.8448,0.8198,0.85,0.8239,0.8273,0.796,0.8192,0.8478,0.844,0.7899,0.7836,0.825,0.8391,0.8237,0.8442,2923,2909,3073,3160,,3293,3559,3893,4244,4595,4985,5290,5638,5532,5526,5640,5646,5535,5274,5352,5107,33.29434759,679.4452037,679.4452037,13,21,22,02111,7823799.346,13814.87949,0.01767957,1.10841E-05
93,15,Emerson College,-71.065384,42.352202,2116,,,,,,0.4702,0.5238,0.4837,0.4815,0.4549,0.4721,0.4496,0.3693,0.4214,0.4718,0.4843,0.4843,0.4798,0.4918,0.4903,0.4806,3039,2983,2650,3135,,2949,2995,3009,3076,3165,3216,3293,3418,3460,3450,3571,3660,3720,3757,3783,3783,24.66272115,584.7761867,584.7761867,15,21,22,02111,7823799.346,13814.87949,0.01767957,1.10841E-05
94,14,Berklee College of Music,-71.089405,42.346646,2215,,,,,,0.4332,0.9249,0.3197,0.7827,0.7868,0.5832,0.4877,0.4438,0.4249,0.3681,0.2801,0.4325,0.3617,0.4038,0.2881,0.3384,2865,2933,2953,3012,,3415,3519,3799,3882,4037,3894,4090,4054,4145,4275,4307,4447,4402,4743,5112,5972,38.93358994,734.7361493,734.7361493,14,28,29,02215,25198308,37861.73131,0.016936292,1.35403E-05
95,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,28,29,02215,25198308,37861.73131,0.016936292,1.35403E-05
