OBJECTID,FID_CollegePoints_Buffer,school,longitude,latitude,zipcode,admission_rate_1996,admission_rate_1997,admission_rate_1998,admission_rate_1999,admission_rate_2000,admission_rate_2001,admission_rate_2002,admission_rate_2003,admission_rate_2004,admission_rate_2005,admission_rate_2006,admission_rate_2007,admission_rate_2008,admission_rate_2009,admission_rate_2010,admission_rate_2011,admission_rate_2012,admission_rate_2013,admission_rate_2014,admission_rate_2015,admission_rate_2016,undergrad_population_1996,undergrad_population_1997,undergrad_population_1998,undergrad_population_1999,undergrad_population_2000,undergrad_population_2001,undergrad_population_2002,undergrad_population_2003,undergrad_population_2004,undergrad_population_2005,undergrad_population_2006,undergrad_population_2007,undergrad_population_2008,undergrad_population_2009,undergrad_population_2010,undergrad_population_2011,undergrad_population_2012,undergrad_population_2013,undergrad_population_2014,undergrad_population_2015,undergrad_population_2016,Acre_Estimate,Radius_ft_,BUFF_DIST,ORIG_FID,FID_ZIP_Codes,OBJECTID_1,ZIP5,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
121,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.00685624,9.06597E-07
122,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.00685624,9.06597E-07
123,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,26,27,02120,17329493.55,28148.29991,0.012069654,3.45903E-06
124,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,26,27,02120,17329493.55,28148.29991,0.012069654,3.45903E-06
125,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,26,27,02120,17329493.55,28148.29991,0.012069654,3.45903E-06
126,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,11,12,02115,19771296.03,34806.58402,0.003545034,4.54647E-07
127,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.003545034,4.54647E-07
128,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,11,12,02115,19771296.03,34806.58402,0.003545034,4.54647E-07
129,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,28,29,02215,25198308,37861.73131,0.0140576,1.16289E-05
130,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.0140576,1.16289E-05
131,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,28,29,02215,25198308,37861.73131,0.0140576,1.16289E-05
132,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.002113796,1.84622E-07
133,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.002113796,1.84622E-07
134,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.002113796,1.84622E-07
